channel_id,video_id,title,duration_sec,chose_to_watch_pct,swiped_away_pct,avg_view_duration_sec,avg_view_pct,likes,comments,shares,views,shorts_feed_impressions,subscribers_net,retention_max_drop_sec,current_hook_text,current_hook_ja,published_at,notes
time_streets,HcStkV6tuXI,"Okinawa, 1950s → 2026 — Through Time",60,,,,,,,,1300,,,,"Okinawa, 1950s → 2026 — Through Time",沖縄、1950年代→2026。時代を超えて。,,公開ページの再生数スナップショット（Studio指標は未取得）
time_streets,Ym1hv1nmbAY,"Osaka, 1910 → 2026 — Through Time #japan #osaka",60,,,,,,,,1200,,,,"Osaka, 1910 → 2026 — Through Time",大阪、1910→2026。時代を超えて。,,公開ページの再生数スナップショット
time_streets,215lrOZp8S4,"Kyoto, 1946 → 2026 — Through Time #japan",60,,,,,,,,616,,,,"Kyoto, 1946 → 2026 — Through Time",京都、1946→2026。時代を超えて。,,公開ページの再生数スナップショット
time_streets,MtWYmPGAihw,"Tokyo, 1926 → 2026 — Through Time #japan",60,,,,,,,,585,,,,"Tokyo, 1926 → 2026 — Through Time",東京、1926→2026。時代を超えて。,,公開ページの再生数スナップショット
time_streets,8lgiP0hPNtk,"Tokyo, Edo → 2026 — Through Time",60,,,,,,,,325,,,,"Tokyo, Edo → 2026 — Through Time",東京、江戸→2026。時代を超えて。,,公開ページの再生数スナップショット
