取得日,期間開始,期間終了,チャンネル名,チャンネルID,動画タイトル,動画ID,URL,投稿日,公開後日数,動画尺_秒,累計再生数,期間内再生数,engagedViews,平均視聴時間_秒,平均視聴率_%,累計高評価数,累計コメント数,期間内シェア数,登録者増,登録者減,登録者増減,Shortsフィード経由再生数,視聴を選んだ割合_%,スワイプされた割合_%,維持率の最大下落秒数,現在の冒頭文,自動判定
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Okinawa, 1950s → 2026 — Through Time",HcStkV6tuXI,https://youtu.be/HcStkV6tuXI,2026-07-16,1,58,1280,0,0,0,0,9,0,0,0,0,0,0,,,,,要観察
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Kyoto, 1946 → 2026 — Through Time #japan",Ym1hv1nmbAY,https://youtu.be/Ym1hv1nmbAY,2026-07-12,5,55,616,0,0,0,0,0,0,0,0,0,0,0,,,,,要観察
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Tokyo, 1926 → 2026 — Through Time #japan",215lrOZp8S4,https://youtu.be/215lrOZp8S4,2026-07-09,8,55,585,0,0,0,0,1,0,0,0,0,0,0,,,,,要観察
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Osaka, 1910 → 2026 — Through Time #japan #osaka",MtWYmPGAihw,https://youtu.be/MtWYmPGAihw,2026-07-08,9,55,1281,0,0,0,0,7,0,0,0,0,0,0,,,,,要観察
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Tokyo, Edo → 2026 — Through Time",8lgiP0hPNtk,https://youtu.be/8lgiP0hPNtk,2026-07-07,10,91,325,0,0,0,0,1,0,0,0,0,0,0,,,,,200再生前後の停滞候補
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Osaka, 1890s → 2023 — Dotonbori Through Time",meXHiBnx1DA,https://youtu.be/meXHiBnx1DA,2026-07-05,12,179,10,0,0,0,0,0,0,0,0,0,0,0,,,,,要観察
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Osaka, 1890s → 2020 — Dotonbori Through Time",QFOh-Bt1TUA,https://youtu.be/QFOh-Bt1TUA,2026-07-05,12,9,197,0,0,0,0,0,0,0,0,0,0,0,,,,,200再生前後の停滞候補
2026-07-17,2026-07-10,2026-07-16,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"NYC, 1940 → 2025 — July 4th Through Time",IeMGG6SowSY,https://youtu.be/IeMGG6SowSY,2026-07-04,13,38,320,0,0,0,0,1,0,0,0,0,0,0,,,,,200再生前後の停滞候補
