取得日,チャンネル名,チャンネルID,動画タイトル,動画ID,URL,投稿日,動画尺_秒,累計再生数,累計高評価数,累計コメント数
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Okinawa, 1950s → 2026 — Through Time",HcStkV6tuXI,https://youtu.be/HcStkV6tuXI,2026-07-16,58,1280,9,0
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Kyoto, 1946 → 2026 — Through Time #japan",Ym1hv1nmbAY,https://youtu.be/Ym1hv1nmbAY,2026-07-12,55,616,0,0
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Tokyo, 1926 → 2026 — Through Time #japan",215lrOZp8S4,https://youtu.be/215lrOZp8S4,2026-07-09,55,585,1,0
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Osaka, 1910 → 2026 — Through Time #japan #osaka",MtWYmPGAihw,https://youtu.be/MtWYmPGAihw,2026-07-08,55,1281,7,0
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Tokyo, Edo → 2026 — Through Time",8lgiP0hPNtk,https://youtu.be/8lgiP0hPNtk,2026-07-07,91,325,1,0
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Osaka, 1890s → 2023 — Dotonbori Through Time",meXHiBnx1DA,https://youtu.be/meXHiBnx1DA,2026-07-05,179,10,0,0
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"Osaka, 1890s → 2020 — Dotonbori Through Time",QFOh-Bt1TUA,https://youtu.be/QFOh-Bt1TUA,2026-07-05,9,197,0,0
2026-07-17,Time Streets,UCkD8_KvuA5egxWtW2vDmuKQ,"NYC, 1940 → 2025 — July 4th Through Time",IeMGG6SowSY,https://youtu.be/IeMGG6SowSY,2026-07-04,38,320,1,0
